System,Defect,q,n_a,n_b,n_c,n_d,En_prist(1x1x1),"En(q,D)",Xc,mu_a,mu_b,mu_c,mu_d,Eg,E_VBM
2x2x2,VCu,0,-1,0,0,0,-30.63147155,-240.4834283,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VCu,-1,-1,0,0,0,-30.63147155,-236.1878068,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VHg,0,0,-1,0,0,-30.63147155,-243.1670196,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VHg,-2,0,-1,0,0,-30.63147155,-234.6013029,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,HgCu,0,-1,1,0,0,-30.63147155,-241.0989507,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,HgCu,1,-1,1,0,0,-30.63147155,-245.8896759,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,CuHg,0,1,-1,0,0,-30.63147155,-248.1257541,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,CuHg,-1,1,-1,0,0,-30.63147155,-243.7598178,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VGe,0,0,-1,0,0,-30.63147155,-236.8907709,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VGe,1,0,-1,0,0,-30.63147155,-240.8939937,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VGe,2,0,-1,0,0,-30.63147155,-244.7699702,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
2x2x2,VGe,3,0,-1,0,0,-30.63147155,-248.4644579,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,VTe,0,0,0,0,-1,-30.63147155,-239.636438,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,VTe,1,0,0,0,-1,-30.63147155,-243.7783549,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,VTe,2,0,0,0,-1,-30.63147155,-247.6610112,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,HgGe,0,0,1,-1,0,-30.63147155,-239.0905402,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,HgGe,-1,0,1,-1,0,-30.63147155,-234.686106,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,HgGe,-2,0,1,-1,0,-30.63147155,-229.9948091,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,GeHg,0,0,-1,1,0,-30.63147155,-249.0410965,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,GeHg,1,0,-1,1,0,-30.63147155,-253.4407602,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05
,GeHg,2,0,-1,1,0,-30.63147155,-257.6333113,HSE06,-3.646275,-0.20033933,-5.36083702,-3.97188389,0.38,4.05